title,genre,year,rating,director,plot,runtime,cast,budget,revenue
The Matrix,Science Fiction Action,1999,8.7,"Lana Wachowski, Lilly Wachowski",A computer hacker learns about the true nature of his reality and his role in the war against its controllers.,136,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",63000000,467222728
Inception,Science Fiction Thriller,2010,8.8,Christopher Nolan,A skilled thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea.,148,"Leonardo DiCaprio, Marion Cotillard, Joseph Gordon-Levitt",160000000,839292587
Interstellar,Science Fiction Drama,2014,8.6,Christopher Nolan,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,169,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",165000000,677463813
Avatar,Science Fiction Adventure,2009,7.8,James Cameron,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,162,"Sam Worthington, Zoe Saldana, Stephen Lang",237000000,2923706026
The Dark Knight,Action Crime,2008,9.0,Christopher Nolan,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests.",152,"Christian Bale, Heath Ledger, Aaron Eckhart",185000000,1005045668
The Avengers,Action Adventure Superhero,2012,8.0,Joss Whedon,Earth's mightiest heroes must come together and learn to fight as a team to save the planet from an alien invasion.,143,"Robert Downey Jr., Chris Evans, Mark Ruffalo",220000000,1519557910
Pulp Fiction,Crime Drama,1994,8.9,Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife intertwine in four tales of violence and redemption.",154,"John Travolta, Samuel L. Jackson, Uma Thurman",8000000,213959223
Forrest Gump,Drama Romance,1994,8.8,Robert Zemeckis,"The presidencies of Kennedy and Johnson, the Vietnam War, and the Watergate scandal unfold from the perspective of an Alabama man with an IQ of 75.",142,"Tom Hanks, Sally Field, Gary Sinise",55000000,678226993
The Shawshank Redemption,Drama,1994,9.3,Frank Darabont,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142,"Tim Robbins, Morgan Freeman, Bob Gunton",25000000,58300000
Titanic,Romance Drama,1997,7.8,James Cameron,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",194,"Leonardo DiCaprio, Kate Winslet, Billy Zane",200000000,2257844680
The Notebook,Romance Drama,2004,7.8,Nick Cassavetes,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",123,"Ryan Gosling, Rachel McAdams, James Garner",29000000,115725326
The Fault in Our Stars,Romance Drama,2014,7.7,Josh Boone,Two teenagers with terminal illnesses embark on a cross-country road trip to find meaning in their lives.,125,"Ansel Elgort, Shailene Woodley, Nat Wolff",12000000,307950854
